Participant id,Experiment Type,Sex,Age,Job,Pre-Behavior Level,Pre-Youtube Time Average,Pre-Youtube Time Percentage Average,Intervention YouTube Time  Average,Intervention YouTube Time Percentage Average,Post-Behavior Level,Post-Youtube Time Average,Post-Youtube Time Percentage Average,Stress,Time Intuition,App Influence,Pre_Estimation,Post_Estimation,Frequence,Pre_Estimate_Error,Post_Estimate_Error,Pre_Estimate_Error_Rate,Post_Estimate_Error_Rate
MP_1,Metaphorical,Male,25,desgin researcher,1,1977.8000,13.3109,698.0000,4.8985,2,557.8000,3.3552,6,4,4,30,30,1시간에 한 번,-177.8000,1102.0000,-9.8778,61.2222
MP_2,Metaphorical,Female,27,desgin researcher,5,1179.4000,6.7683,1449.1000,6.6195,5,1227.0000,5.4914,3,4,4,20,30,10분에 한 번,20.6000,350.9000,1.7167,19.4944
MP_3,Metaphorical,Female,25,virtual reality researcher,1,1242.2000,12.4194,186.6250,1.2628,2,314.8000,1.2483,3,4,3,60,30,10분에 한 번,2357.8000,1613.3750,65.4944,89.6319
MP_4,Metaphorical,Male,28,web designer,1,1503.2500,12.1570,2401.7000,13.5892,2,4252.6667,24.6020,4,4,2,240,120,거의 보지 않음,12896.7500,4798.3000,89.5608,66.6431
MP_5,Metaphorical,Female,26,desgin researcher,1,1662.7500,7.0927,687.1250,3.2680,3,1569.5000,7.8448,2,2,2,4,30,하루에 한 번,-1422.7500,1112.8750,-592.8125,61.8264
MP_6,Metaphorical,Male,26,app developer,1,1315.2000,5.8654,888.8750,13.3788,3,0.0000,0.0000,5,2,4,200,60,10분에 한 번,10684.8000,2711.1250,89.0400,75.3090
MP_7,Metaphorical,Female,24,nuclear engineering researcher,1,3162.4000,23.4129,2061.9000,14.1206,2,736.0000,23.1358,3,3,4,30,60,거의 보지 않음,-1362.4000,1538.1000,-75.6889,42.7250
MP_8,Metaphorical,Male,28,service desgin researcher,1,79.0000,0.7485,781.3000,5.1570,2,1175.8000,6.1333,3,3,3,60,30,10분에 한 번,3521.0000,1018.7000,97.8056,56.5944
MP_9,Metaphorical,Male,24,industrial designer,1,3534.8000,54.7868,4288.7500,19.4570,3,745.0000,7.9485,7,4,4,60,70,거의 보지 않음,65.2000,-88.7500,1.8111,-2.1131
MP_10,Metaphorical,Male,25,service desgin researcher,5,2258.6000,9.8813,2194.1000,9.4004,6,1745.8000,6.1520,3,4,4,60,40,10분에 한 번,1341.4000,205.9000,37.2611,8.5792
MP_11,Metaphorical,Male,24,service desgin researcher,5,2841.6000,13.3402,67.3000,0.6256,5,0.0000,0.0000,4,3,3,20,40,거의 보지 않음,-1641.6000,2332.7000,-136.8000,97.1958
MP_12,Metaphorical,Female,27,user experience researcher,4,5425.0000,20.7065,1673.7000,6.4518,4,3036.5000,17.4959,3,4,3,60,120,하루에 한 번,-1825.0000,5526.3000,-50.6944,76.7542
MP_13,Metaphorical,Female,26,project manager,1,1651.0000,14.9014,6044.0000,40.2506,3,2054.6000,17.1044,1,5,5,500,6,1시간에 한 번,28349.0000,-5684.0000,94.4967,-1578.8889
MP_14,Metaphorical,Female,25,industrial engineering researcher,2,212.6000,1.1683,302.2000,1.7756,3,179.6000,0.9113,4,4,4,60,10,하루에 한 번,3387.4000,297.8000,94.0944,49.6333
MP_15,Metaphorical,Female,22,undergraduate student,2,5656.6000,27.3108,1440.2000,11.6284,3,1461.2000,8.5199,,2,4,10,30,10분에 한 번,-5056.6000,359.8000,-842.7667,19.9889
MP_16,Metaphorical,Female,25,web designer,2,890.0000,4.3390,1269.9000,7.3022,2,1586.2000,6.4088,2,4,3,120,60,거의 보지 않음,6310.0000,2330.1000,87.6389,64.7250
MP_17,Metaphorical,Male,26,data engineer,3,13750.4000,42.4733,8195.2000,20.8202,5,12770.6000,26.6275,4,4,4,120,180,거의 보지 않음,-6550.4000,2604.8000,-90.9778,24.1185
MP_18,Metaphorical,Female,26,user experience developer,2,4204.0000,18.0967,745.7000,6.0627,5,1196.4000,6.7085,3,5,5,30,60,수시로(1분에 한 번),-2404.0000,2854.3000,-133.5556,79.2861
MP_19,Metaphorical,Male,59,metallurgy researcher,1,8636.8000,82.9857,10977.3000,81.2265,3,11351.2000,78.0780,10,3,2,60,180,수시로(1분에 한 번),-5036.8000,-177.3000,-139.9111,-1.6417
MP_20,Metaphorical,Female,26,architecture manager,1,1819.6667,40.9108,20.8333,1.9543,2,0.0000,0.0000,4,4,4,35,30,수시로(1분에 한 번),280.3333,1779.1667,13.3492,98.8426
SP_1,Simile,Male,27,desgin researcher,3,262.6000,2.7942,114.8889,0.5116,3,347.5000,1.4878,1,4,2,10,30,하루에 한 번,337.4000,1685.1111,56.2333,93.6173
SP_2,Simile,Male,27,data science researcher,5,3591.2000,15.2923,6094.5000,23.2354,5,1924.0000,8.4154,3,5,4,60,100,10분에 한 번,8.8000,-94.5000,0.2444,-1.5750
SP_3,Simile,Female,23,undergraduate student,5,1444.2500,14.6475,1287.7000,9.3349,6,0.0000,0.0000,1,4,2,30,40,하루에 한 번,355.7500,1112.3000,19.7639,46.3458
SP_4,Simile,Male,26,robotics researcher,1,880.2000,7.9362,867.7000,8.3975,1,572.2000,6.3949,2,2,1,120,30,거의 보지 않음,6319.8000,932.3000,87.7750,51.7944
SP_5,Simile,Male,26,robotics researcher,2,2330.0000,5.9613,3318.4000,9.5620,2,2231.0000,5.2988,7,4,1,200,200,1시간에 한 번,9670.0000,8681.6000,80.5833,72.3467
SP_6,Simile,Female,25,data science researcher,1,760.4000,6.0866,689.6000,4.0999,1,1435.6000,6.4316,6,4,1,40,40,1시간에 한 번,1639.6000,1710.4000,68.3167,71.2667
SP_7,Simile,Male,25,mechanical engineering researcher,1,277.0000,3.8279,1190.8750,29.7783,2,1028.6000,13.9118,3,3,3,120,60,하루에 한 번,6923.0000,2409.1250,96.1528,66.9201
SP_8,Simile,Male,25,industrial engineering researcher,6,0.8000,0.0044,5.2222,0.0400,6,0.0000,0.0000,2,2,3,30,15,거의 보지 않음,1799.2000,894.7778,99.9556,99.4198
SP_9,Simile,Male,25,robotics researcher,3,858.8000,6.0280,2078.9000,14.3010,4,1456.0000,37.2855,6,4,4,30,60,하루에 한 번,941.2000,1521.1000,52.2889,42.2528
SP_10,Simile,Female,22,data science researcher,1,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.0000,3,4,4,10,10,수시로(1분에 한 번),600.0000,600.0000,100.0000,100.0000
SP_11,Simile,Female,27,industrial design researcher,2,182.6000,2.1215,1627.3000,9.1728,5,370.0000,5.1564,6,2,2,120,30,하루에 한 번,7017.4000,172.7000,97.4639,9.5944
SP_12,Simile,Female,25,cognitive science researcher,4,118.4000,0.8512,295.1111,1.9594,4,49.3333,10.6093,6,3,3,60,30,하루에 한 번,3481.6000,1504.8889,96.7111,83.6049
SP_13,Simile,Female,31,trade manager,5,6341.2500,56.9300,10719.4000,80.3571,5,0.0000,0.0000,2,2,2,120,60,거의 보지 않음,858.7500,-7119.4000,11.9271,-197.7611
SP_14,Simile,Female,31,architecture manager,5,358.7500,15.0167,187.6000,6.0467,5,0.0000,0.0000,1,3,3,100,1,하루에 한 번,5641.2500,-127.6000,94.0208,-212.6667
SP_15,Simile,Male,25,aeronautical engineering researcher,1,675.8000,12.5433,846.7000,7.0800,2,0.0000,0.0000,5,3,3,10,10,거의 보지 않음,-75.8000,-246.7000,-12.6333,-41.1167
